name,score,age_category,sex,email,phone_num
Henry,18,Junior,Gents,email@domain.com,XXXXX XXXXXX
Cormac,17,Junior,Gents,email@domain.com,XXXXX XXXXXX
Oscar,17,Junior,Gents,email@domain.com,XXXXX XXXXXX
James,15,Junior,Gents,email@domain.com,XXXXX XXXXXX
Arthur,14,Junior,Gents,email@domain.com,XXXXX XXXXXX
Imogen,10,Junior,Ladies,email@domain.com,XXXXX XXXXXX
James,18,Junior,Gents,email@domain.com,XXXXX XXXXXX
Isaac,22,Junior,Gents,email@domain.com,XXXXX XXXXXX
Vicki,19,Senior,Ladies,email@domain.com,XXXXX XXXXXX
James,18,Junior,Gents,email@domain.com,XXXXX XXXXXX
Josh,27,Senior,Gents,email@domain.com,XXXXX XXXXXX
Lennon,15,Junior,Gents,email@domain.com,XXXXX XXXXXX
Lucas,21,Junior,Gents,email@domain.com,XXXXX XXXXXX
Toby,18,Junior,Gents,email@domain.com,XXXXX XXXXXX
Brandon,8,Senior,Gents,email@domain.com,XXXXX XXXXXX
Chloe,24,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Olivia,22,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Charlotte,2,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Rich,23,Senior,Gents,email@domain.com,XXXXX XXXXXX
David,27,Senior,Gents,email@domain.com,XXXXX XXXXXX
Jack,16,Junior,Gents,email@domain.com,XXXXX XXXXXX
Eloise,16,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Martin,24,Senior,Gents,email@domain.com,XXXXX XXXXXX
Archie,20,Junior,Gents,email@domain.com,XXXXX XXXXXX
William,8,Junior,Gents,email@domain.com,XXXXX XXXXXX
William,4,Junior,Gents,email@domain.com,XXXXX XXXXXX
Oliver,23,Junior,Gents,email@domain.com,XXXXX XXXXXX
Henry,20,Junior,Gents,email@domain.com,XXXXX XXXXXX
May,14,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Toby,23,Junior,Gents,email@domain.com,XXXXX XXXXXX
Tom,24,Senior,Gents,email@domain.com,XXXXX XXXXXX
Jake,22,Junior,Gents,email@domain.com,XXXXX XXXXXX
Ralphie,19,Junior,Gents,email@domain.com,XXXXX XXXXXX
Joey,20,Junior,Gents,email@domain.com,XXXXX XXXXXX
Isabella,21,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Theo,29,Junior,Gents,email@domain.com,XXXXX XXXXXX
Freddy,2,Junior,Gents,email@domain.com,XXXXX XXXXXX
Emmeline,27,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Rosie,24,Senior,Ladies,email@domain.com,XXXXX XXXXXX
Carli,11,Junior,Ladies,email@domain.com,XXXXX XXXXXX
George,22,Junior,Gents,email@domain.com,XXXXX XXXXXX
Charlotte,16,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Annienae,27,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Cole,10,Junior,Gents,email@domain.com,XXXXX XXXXXX
Isla,23,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Matt,28,Senior,Gents,email@domain.com,XXXXX XXXXXX
Jack,7,Junior,Gents,email@domain.com,XXXXX XXXXXX
Ivy,22,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Brian,28,Senior,Gents,email@domain.com,XXXXX XXXXXX
Logan,25,Junior,Gents,email@domain.com,XXXXX XXXXXX
Andy,24,Senior,Gents,email@domain.com,XXXXX XXXXXX
Maisie,24,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Jenson,15,Junior,Gents,email@domain.com,XXXXX XXXXXX
Harrison,8,Junior,Gents,email@domain.com,XXXXX XXXXXX
John,23,Senior,Gents,email@domain.com,XXXXX XXXXXX
Dan,29,Senior,Gents,email@domain.com,XXXXX XXXXXX
Theo,13,Junior,Gents,email@domain.com,XXXXX XXXXXX
Lois,22,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Luca,19,Junior,Gents,email@domain.com,XXXXX XXXXXX
Jack,22,Junior,Gents,email@domain.com,XXXXX XXXXXX
Will,27,Junior,Gents,email@domain.com,XXXXX XXXXXX
Jack,18,Junior,Gents,email@domain.com,XXXXX XXXXXX
Alfie,19,Junior,Gents,email@domain.com,XXXXX XXXXXX
Charlotte,13,Senior,Ladies,email@domain.com,XXXXX XXXXXX
Oliver,8,Junior,Gents,email@domain.com,XXXXX XXXXXX
Rhonda,23,Senior,Ladies,email@domain.com,XXXXX XXXXXX
Lucy,14,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Thomas,23,Junior,Gents,email@domain.com,XXXXX XXXXXX
Elanor,4,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Amelia,23,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Caiden,24,Junior,Gents,email@domain.com,XXXXX XXXXXX
Robyn,11,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Emily,24,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Mathew,14,Junior,Gents,email@domain.com,XXXXX XXXXXX
Lucy,15,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Olivia,8,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Mimi,4,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Juan,27,Senior,Gents,email@domain.com,XXXXX XXXXXX
Letitia,25,Senior,Ladies,email@domain.com,XXXXX XXXXXX
Ben,27,Senior,Gents,email@domain.com,XXXXX XXXXXX
George,21,Senior,Gents,email@domain.com,XXXXX XXXXXX
Burbidge,28,Senior,Gents,email@domain.com,XXXXX XXXXXX
Ollie,18,Junior,Gents,email@domain.com,XXXXX XXXXXX
Toby,8,Junior,Gents,email@domain.com,XXXXX XXXXXX
Daisy,4,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Neil,24,Senior,Gents,email@domain.com,XXXXX XXXXXX
Matt,23,Senior,Gents,email@domain.com,XXXXX XXXXXX
Will,19,Junior,Gents,email@domain.com,XXXXX XXXXXX
Isabella,12,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Patrick,4,Junior,Gents,email@domain.com,XXXXX XXXXXX
Robin,12,Junior,Ladies,email@domain.com,XXXXX XXXXXX
Oscar,16,Senior,Gents,email@domain.com,XXXXX XXXXXX
